t,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,f1,f2,f3,f4,f5,f6,f7,f8,f9,Phi11,Phi12,Phi13,Phi14,Phi15,Phi21,Phi22,Phi23,Phi24,Phi25,Phi31,Phi32,Phi33,Phi34,Phi35,Phi41,Phi42,Phi43,Phi44,Phi45,Phi51,Phi52,Phi53,Phi54,Phi55,Phi61,Phi62,Phi63,Phi64,Phi65,Phi71,Phi72,Phi73,Phi74,Phi75,Phi81,Phi82,Phi83,Phi84,Phi85,Phi91,Phi92,Phi93,Phi94,Phi95
81,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
83,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
85,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
87,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
89,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
91,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
93,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
95,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
97,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
99,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
101,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
103,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
105,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
107,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
109,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
111,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
113,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
115,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
117,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
119,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
121,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
123,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
125,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
127,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
129,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
131,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
133,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
135,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
137,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
139,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
141,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
143,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
145,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
147,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
149,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
151,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
153,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
155,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
157,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
159,1,1,1,1,1,1,1,1,1,1,51.867,142.86,279.79,461.89,501.19,614.18,688.94,922.6,961.39,-0.54811,0.14032,0.43377,0.1349,-0.5479,-0.43372,0.45754,-4.9147e-05,-0.45509,0.4337,-0.32332,0.37131,-0.50743,0.37868,-0.32348,-0.21505,-0.0032469,0.00011562,-0.012509,0.2153,9.8776e-06,1.8132e-05,-7.481e-06,-3.7516e-05,-1.1468e-05,-0.0004844,-0.00071484,-3.8163e-05,0.0026944,0.00078455,-0.11085,-0.38714,0.50466,-0.37187,-0.11024,-0.0038073,-0.021385,0.0059233,0.024235,0.002451,-0.0075879,-0.49605,-0.0053202,0.49646,0.0090052
